Test_ID,Actual_Validity,Actual_Binary,Predicted_Validity,Predicted_Binary,Probability_Invalid,Fold,missing_any,duplicate_measurement_pair,sensor_s2_negative,sensor_zero_reading,data_quality_issue,Error_Type
TRN-0518,Invalid,1,Valid,0,0.23,5,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0304,Invalid,1,Valid,0,0.43,3,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0622,Invalid,1,Valid,0,0.47,3,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0167,Invalid,1,Valid,0,0.35,3,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0704,Invalid,1,Valid,0,0.35,4,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0018,Invalid,1,Valid,0,0.35,4,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0561,Invalid,1,Valid,0,0.28,2,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0108,Invalid,1,Valid,0,0.36,2,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0557,Invalid,1,Valid,0,0.46,4,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0734,Invalid,1,Valid,0,0.18,4,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0718,Invalid,1,Valid,0,0.21,4,True,False,False,False,True,False Negative (Invalid -> Valid)
TRN-0406,Invalid,1,Valid,0,0.45,3,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0652,Invalid,1,Invalid,1,0.58,5,False,False,False,True,False,Uncertain Prediction
TRN-0202,Invalid,1,Invalid,1,0.58,4,False,False,False,False,False,Uncertain Prediction
TRN-0025,Invalid,1,Valid,0,0.28,2,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0523,Invalid,1,Invalid,1,0.58,2,False,False,False,False,False,Uncertain Prediction
TRN-0076,Invalid,1,Valid,0,0.29,4,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0929,Invalid,1,Valid,0,0.19,1,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0217,Invalid,1,Valid,0,0.16,2,False,False,False,False,False,False Negative (Invalid -> Valid)
TRN-0993,Valid,0,Invalid,1,0.67,5,False,False,False,False,False,False Positive (Valid -> Invalid)
TRN-0768,Invalid,1,Invalid,1,0.51,3,True,False,False,False,True,Uncertain Prediction
TRN-0203,Invalid,1,Valid,0,0.46,5,False,False,True,False,False,False Negative (Invalid -> Valid)
