feature_name,source,category,formula_or_definition,physical_reason,inference_available,uses_target,uses_identifier,recommended_status
Applied_Voltage_kV,Raw,Physical Measurement,Derived parameter/flag: Applied_Voltage_kV,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Load_Current_A,Raw,Physical Measurement,Derived parameter/flag: Load_Current_A,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Ambient_Temperature_C,Raw,Physical Measurement,Derived parameter/flag: Ambient_Temperature_C,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Test_Duration_min,Raw,Physical Measurement,Derived parameter/flag: Test_Duration_min,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S1,Raw,Physical Measurement,Derived parameter/flag: Sensor_S1,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S2,Raw,Physical Measurement,Derived parameter/flag: Sensor_S2,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S3,Raw,Physical Measurement,Derived parameter/flag: Sensor_S3,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
Sensor_S4,Raw,Physical Measurement,Derived parameter/flag: Sensor_S4,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
missing_any,P1_Stage1/2,Data Quality Flag,Derived parameter/flag: missing_any,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
missing_critical_measurement,P1_Stage5,Data Quality Flag,Derived parameter/flag: missing_critical_measurement,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
non_finite_value,P1_Stage1/2,Data Quality Flag,Derived parameter/flag: non_finite_value,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
duplicate_full_row,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: duplicate_full_row,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
duplicate_test_id,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: duplicate_test_id,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
duplicate_measurement_pair,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: duplicate_measurement_pair,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
malformed_numeric,P1_Stage5,Engineered Interaction/Difference,Derived parameter/flag: malformed_numeric,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
invalid_voltage,P1_Stage5,Data Quality Flag,Derived parameter/flag: invalid_voltage,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
invalid_current,P1_Stage5,Data Quality Flag,Derived parameter/flag: invalid_current,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
invalid_duration,P1_Stage5,Data Quality Flag,Derived parameter/flag: invalid_duration,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
invalid_ambient_temp,P1_Stage5,Data Quality Flag,Derived parameter/flag: invalid_ambient_temp,"Captures physical operating condition, sensor alignment, or data-quality integrity.",True,False,False,retained
