Test_ID,Actual_Validity,Supervised_Prediction,Probability_Invalid,Stage1_Quality_Issue,Stage3_Anomaly_Flag,Stage3_Anomaly_Score
TRN-0889,Valid,Valid,0.015,False,0,0.3981144501003096
TRN-0820,Valid,Valid,0.005,False,0,0.3859658116863561
TRN-0411,Valid,Valid,0.05,False,0,0.4186627972852236
TRN-0754,Valid,Valid,0.005,False,0,0.3805669103771818
TRN-0707,Valid,Valid,0.03,False,0,0.3931337012483522
TRN-0140,Valid,Valid,0.065,True,1,0.5963988835729646
TRN-0881,Valid,Valid,0.03,False,0,0.3779968990126365
TRN-0381,Valid,Valid,0.015,False,0,0.3791326236375086
TRN-0095,Valid,Valid,0.01,False,0,0.4379281427768868
TRN-0135,Invalid,Invalid,0.905,False,0,0.4507230348020907
TRN-0633,Valid,Valid,0.015,False,0,0.4269272034842111
TRN-0138,Valid,Valid,0.03,False,0,0.3946839516214831
TRN-0591,Valid,Valid,0.125,False,0,0.4948792427504678
TRN-0262,Valid,Valid,0.08,False,0,0.4016070642423365
TRN-0729,Valid,Valid,0.075,False,0,0.4097882510462803
TRN-0307,Valid,Valid,0.075,False,0,0.482643552189693
TRN-0091,Valid,Valid,0.015,False,0,0.3800746499584354
TRN-0542,Valid,Valid,0.05,False,0,0.4185607843351643
TRN-0937,Valid,Valid,0.125,False,0,0.3955590199389353
TRN-0092,Valid,Valid,0.08,False,0,0.4401670173713953
TRN-0268,Valid,Valid,0.11,False,0,0.4530736735525725
TRN-0782,Valid,Valid,0.06,False,0,0.4163314394914707
TRN-0919,Valid,Valid,0.015,False,0,0.3758129373749768
TRN-0053,Valid,Valid,0.055,False,0,0.4481644448608884
TRN-0408,Valid,Valid,0.115,False,0,0.4576920118925874
TRN-0501,Valid,Valid,0.045,False,0,0.3792636094501941
TRN-0311,Valid,Valid,0.02,False,0,0.3863936052567697
TRN-0562,Valid,Valid,0.05,False,0,0.4387962889729082
TRN-0126,Valid,Valid,0.005,False,0,0.3786861465117697
TRN-0676,Valid,Valid,0.06,False,0,0.4592457554867751
TRN-0360,Valid,Valid,0.11,False,0,0.4229109739279169
TRN-0367,Valid,Valid,0.045,False,0,0.4037400619090457
TRN-0405,Valid,Valid,0.06,True,1,0.59399535585435
TRN-0868,Valid,Valid,0.025,False,0,0.466422202426526
TRN-0020,Valid,Valid,0.06,False,0,0.4375996327878274
TRN-0316,Valid,Valid,0.01,False,0,0.3820682222037146
TRN-0067,Valid,Valid,0.25,False,0,0.433664135022705
TRN-0317,Valid,Valid,0.02,False,0,0.3966882790446867
TRN-0087,Invalid,Invalid,0.95,False,0,0.4486060562251981
TRN-0801,Valid,Valid,0.145,False,0,0.4119862219904853
TRN-0012,Valid,Valid,0.01,False,0,0.406483858561933
TRN-0578,Valid,Valid,0.015,False,0,0.4097205393718343
TRN-0859,Valid,Valid,0.1,False,0,0.4312855779103136
TRN-0533,Invalid,Invalid,0.855,True,1,0.5295215093299227
TRN-0967,Valid,Valid,0.015,False,0,0.3823287511349769
TRN-0788,Valid,Valid,0.11,False,0,0.3939657045100439
