Test_ID,Actual_Validity,Actual_Binary,Supervised_Prediction,Supervised_Binary,Supervised_Probability_Invalid,IsolationForest_Score,IsolationForest_Flag,LOF_Score,LOF_Flag,Agreement_Group
TRN-0889,Valid,0,Valid,0,0.04,0.3981144501003096,0,1.0080784358880703,0,Group 4 (Both Valid/Normal)
TRN-0820,Valid,0,Valid,0,0.01,0.38596581168635613,0,0.9942095584408648,0,Group 4 (Both Valid/Normal)
TRN-0411,Valid,0,Valid,0,0.05,0.4186627972852236,0,1.062214228670721,0,Group 4 (Both Valid/Normal)
TRN-0754,Valid,0,Valid,0,0.07,0.3805669103771818,0,0.9828309189335093,0,Group 4 (Both Valid/Normal)
TRN-0707,Valid,0,Valid,0,0.1,0.39313370124835223,0,0.9906424616352499,0,Group 4 (Both Valid/Normal)
TRN-0140,Valid,0,Valid,0,0.32,0.5963988835729646,1,1.0112043974884648,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0881,Valid,0,Valid,0,0.06,0.37799689901263656,0,0.9789377005967982,0,Group 4 (Both Valid/Normal)
TRN-0381,Valid,0,Valid,0,0.06,0.37913262363750866,0,0.9747176642454836,0,Group 4 (Both Valid/Normal)
TRN-0095,Valid,0,Valid,0,0.02,0.4379281427768868,0,1.0686809219031912,0,Group 4 (Both Valid/Normal)
TRN-0135,Invalid,1,Invalid,1,0.68,0.4507230348020907,0,1.3936945993787209,0,Group 2 (Supervised Invalid / Anomaly Normal)
TRN-0633,Valid,0,Valid,0,0.09,0.42692720348421115,0,1.064230488927533,0,Group 4 (Both Valid/Normal)
TRN-0138,Valid,0,Valid,0,0.06,0.3946839516214831,0,0.9993889674374596,0,Group 4 (Both Valid/Normal)
TRN-0591,Valid,0,Valid,0,0.18,0.49487924275046785,0,1.184878176408168,0,Group 4 (Both Valid/Normal)
TRN-0262,Valid,0,Valid,0,0.16,0.4016070642423365,0,1.02492697362387,0,Group 4 (Both Valid/Normal)
TRN-0729,Valid,0,Valid,0,0.11,0.4097882510462803,0,1.060681143316779,0,Group 4 (Both Valid/Normal)
TRN-0307,Valid,0,Valid,0,0.19,0.48264355218969307,0,1.0695926932568784,0,Group 4 (Both Valid/Normal)
TRN-0091,Valid,0,Valid,0,0.05,0.3800746499584354,0,0.986337453024101,0,Group 4 (Both Valid/Normal)
TRN-0542,Valid,0,Valid,0,0.21,0.4185607843351643,0,1.1848787944208259,0,Group 4 (Both Valid/Normal)
TRN-0937,Valid,0,Valid,0,0.18,0.39555901993893533,0,1.0120552589986682,0,Group 4 (Both Valid/Normal)
TRN-0092,Valid,0,Valid,0,0.17,0.44016701737139535,0,1.1068663924068392,0,Group 4 (Both Valid/Normal)
TRN-0268,Valid,0,Valid,0,0.26,0.45307367355257255,0,1.2086891931009995,0,Group 4 (Both Valid/Normal)
TRN-0782,Valid,0,Valid,0,0.03,0.4163314394914707,0,1.0463341515276878,0,Group 4 (Both Valid/Normal)
TRN-0919,Valid,0,Valid,0,0.01,0.3758129373749768,0,0.9938273557110378,0,Group 4 (Both Valid/Normal)
TRN-0053,Valid,0,Valid,0,0.07,0.44816444486088847,0,1.0434295273166971,0,Group 4 (Both Valid/Normal)
TRN-0408,Valid,0,Valid,0,0.12,0.4576920118925874,0,1.1156304718630186,0,Group 4 (Both Valid/Normal)
TRN-0501,Valid,0,Valid,0,0.06,0.37926360945019416,0,0.9820135707290838,0,Group 4 (Both Valid/Normal)
TRN-0311,Valid,0,Valid,0,0.01,0.38639360525676975,0,0.9845813600383673,0,Group 4 (Both Valid/Normal)
TRN-0562,Valid,0,Valid,0,0.04,0.43879628897290823,0,1.1480071309019502,0,Group 4 (Both Valid/Normal)
TRN-0126,Valid,0,Valid,0,0.02,0.3786861465117697,0,0.9520759989914591,0,Group 4 (Both Valid/Normal)
TRN-0676,Valid,0,Valid,0,0.05,0.4592457554867751,0,1.0603554092250287,0,Group 4 (Both Valid/Normal)
TRN-0360,Valid,0,Valid,0,0.11,0.4229109739279169,0,1.0317015629055677,0,Group 4 (Both Valid/Normal)
TRN-0367,Valid,0,Valid,0,0.06,0.4037400619090457,0,1.0146021547376864,0,Group 4 (Both Valid/Normal)
TRN-0405,Valid,0,Valid,0,0.29,0.59399535585435,1,0.9858474953188004,0,Group 3 (Supervised Valid / Anomaly Anomalous)
TRN-0868,Valid,0,Valid,0,0.04,0.466422202426526,0,1.1199965132797627,0,Group 4 (Both Valid/Normal)
TRN-0020,Valid,0,Valid,0,0.2,0.4375996327878274,0,1.0213401121995145,0,Group 4 (Both Valid/Normal)
TRN-0316,Valid,0,Valid,0,0.08,0.3820682222037146,0,1.0046698513563341,0,Group 4 (Both Valid/Normal)
TRN-0067,Valid,0,Valid,0,0.08,0.43366413502270507,0,1.0707731437460102,0,Group 4 (Both Valid/Normal)
TRN-0317,Valid,0,Valid,0,0.06,0.39668827904468673,0,1.0189169265031102,0,Group 4 (Both Valid/Normal)
